id,profesional_id,imagen_url,titulo,descripcion,url_destino,esta_activo,posicion,orden_visualizacion,contador_clics,contador_impresiones,creado_en,expira_en
4,2,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757945404/profiles/profile_2.jpg,Consulta con Profesional de astiazu.joseluis,"Soy analista de sistemas, orientado hacia los resultados y con excelentes dotes comunicativas. También cuento con conocimiento en análisis de datos. A partir del año 2020 volví a la programación gracias a la Cooperativa del Centro de Graduados de la Facultad de Ingeniería - FIUBA -, inicialmente con Python y luego Data Analytics con Google. Desaprender y aprender ha sido un desafío constante en materia de tecnología. Agradecido de poder hacerlo.",/profesional/astiazu-joseluis,true,inarticle,0,0,0,2025-11-22T19:15:24.747088,2025-12-22T19:15:24.747088
6,4,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757977265/profiles/profile_4.png,Consulta con Profesional de El Vasquito,Una pequeña descripción de la biografía/historia.,/profesional/el-vasquito,true,header,4,0,0,2025-11-22T19:15:33.646139,2025-12-22T19:15:33.646139
3,6,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758890047/profiles/profile_6.png,Consulta con Profesional de CD3 -Arq. - Salvador,None,/profesional/salvador,true,intermedio,2,0,0,2025-11-21T20:55:27.578041,2025-12-21T20:55:27.577063
2,42,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1761089052/profiles/profile_42.png,Consulta con Profesional de Martin S.,"Soy politólogo y economista graduado en la Universidad de Buenos Aires, con sólida formación en políticas públicas, análisis macroeconómico y gestión institucional. Durante mi trayectoria profesional integré equipos de gobierno, participando en proyectos estratégicos orientados a la modernización del Estado, la transparencia y la eficiencia en la administración pública. Me especializo en el diseño y evaluación de políticas públicas, comunicación estratégica y gestión del cambio en contextos de alta complejidad. Combino una mirada técnica con sensibilidad política y capacidad de articulación entre sectores público y privado. Apasionado por el análisis de coyuntura y la planificación a largo plazo, creo en el valor de los datos, la evidencia y la gestión profesional como pilares del desarrollo sostenible y la institucionalidad democrática.",/profesional/martin-s,true,sidebar,3,0,0,2025-11-21T20:55:27.575108,2025-12-21T20:55:27.574136
1,38,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1759430108/profiles/profile_38.jpg,Consulta con Profesional de Bonavita,Sistemas de Seguridd y Vigilancia,/profesional/vigilanciatraslasierra,true,header,3,0,0,2025-11-21T20:55:27.569248,2025-12-21T20:55:27.566321
7,18,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1759249970/profiles/profile_18.png,Consulta con Profesional de PozoProp,"Desarrollo, venta, construcción de edificios de departamentos.  - Concepto de Casas en Altura -  Diseñamos juntos tu  próximo departamento eligiendo los detalles.",/profesional/pozoprop,true,inarticle,1,0,0,2025-11-22T19:15:38.695620,2025-12-22T19:15:38.694637
5,40,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1760141126/profiles/profile_40.jpg,Consulta con Profesional de BanZai Show MC,Cuando nace Banzai en Mina Clavero,/profesional/banzai-show-mc,true,clients,1,0,0,2025-11-22T19:15:28.615221,2025-12-22T19:15:28.614245
